split_a,mode,metric,distance,value,n_pairs
3,random,reach_long_by_dist,1,1.0,86
3,random,reach_long_by_dist,2,1.0,86
3,random,reach_long_by_dist,3,1.0,86
3,random,reach_long_by_dist,4,1.0,86
3,random,reach_long_by_dist,5,1.0,86
3,random,reach_long_by_dist,6,0.9998,86
3,random,reach_long_by_dist,7,0.9994,86
3,random,reach_long_by_dist,8,0.9993,86
3,random,reach_long_by_dist,9,0.9997,86
3,random,reach_long_by_dist,10,0.9995,86
3,random,reach_long_by_dist,11,0.9993,86
3,random,reach_long_by_dist,12,0.9994,86
3,random,reach_long_by_dist,13,0.9994,86
3,random,reach_long_by_dist,14,0.9994,86
3,random,reach_long_by_dist,15,0.9994,86
3,random,reach_long_by_dist,16,0.9995,86
3,random,reach_long_by_dist,17,0.9993,86
3,random,reach_long_by_dist,18,0.9997,86
3,random,reach_long_by_dist,19,0.9994,86
3,random,reach_long_by_dist,20,0.9998,86
3,random,reach_long_by_dist,21,0.9998,86
3,random,exact,,0.965,
3,random,reach_long,,0.9996,
3,random,reach_short,,1.0,
3,random,cut,,1.0,
3,random,pred_positive_rate,,0.8778,
4,random,reach_long_by_dist,1,1.0,84
4,random,reach_long_by_dist,2,1.0,84
4,random,reach_long_by_dist,3,1.0,84
4,random,reach_long_by_dist,4,1.0,84
4,random,reach_long_by_dist,5,0.9999,84
4,random,reach_long_by_dist,6,0.9995,84
4,random,reach_long_by_dist,7,0.9995,84
4,random,reach_long_by_dist,8,0.9993,84
4,random,reach_long_by_dist,9,0.9993,84
4,random,reach_long_by_dist,10,0.999,84
4,random,reach_long_by_dist,11,0.9993,84
4,random,reach_long_by_dist,12,0.999,84
4,random,reach_long_by_dist,13,0.9993,84
4,random,reach_long_by_dist,14,0.9995,84
4,random,reach_long_by_dist,15,0.9993,84
4,random,reach_long_by_dist,16,0.9992,84
4,random,reach_long_by_dist,17,0.9995,84
4,random,reach_long_by_dist,18,0.999,84
4,random,reach_long_by_dist,19,0.9995,84
4,random,reach_long_by_dist,20,0.9994,84
4,random,reach_long_by_dist,21,0.9998,42
4,random,exact,,0.935,
4,random,reach_long,,0.9995,
4,random,reach_short,,1.0,
4,random,cut,,0.9994,
4,random,pred_positive_rate,,0.8409,
5,random,reach_long_by_dist,1,1.0,82
5,random,reach_long_by_dist,2,1.0,82
5,random,reach_long_by_dist,3,1.0,82
5,random,reach_long_by_dist,4,1.0,82
5,random,reach_long_by_dist,5,1.0,82
5,random,reach_long_by_dist,6,1.0,82
5,random,reach_long_by_dist,7,0.9999,82
5,random,reach_long_by_dist,8,0.9996,82
5,random,reach_long_by_dist,9,0.9995,82
5,random,reach_long_by_dist,10,0.9998,82
5,random,reach_long_by_dist,11,0.9995,82
5,random,reach_long_by_dist,12,0.9995,82
5,random,reach_long_by_dist,13,0.9996,82
5,random,reach_long_by_dist,14,0.9995,82
5,random,reach_long_by_dist,15,0.9996,82
5,random,reach_long_by_dist,16,0.9996,82
5,random,reach_long_by_dist,17,0.9995,82
5,random,reach_long_by_dist,18,0.9996,82
5,random,reach_long_by_dist,19,0.9996,82
5,random,reach_long_by_dist,20,0.9996,82
5,random,exact,,0.975,
5,random,reach_long,,0.9997,
5,random,reach_short,,1.0,
5,random,cut,,1.0,
5,random,pred_positive_rate,,0.806,
6,random,reach_long_by_dist,1,1.0,80
6,random,reach_long_by_dist,2,1.0,80
6,random,reach_long_by_dist,3,1.0,80
6,random,reach_long_by_dist,4,1.0,80
6,random,reach_long_by_dist,5,0.9996,80
6,random,reach_long_by_dist,6,0.9995,80
6,random,reach_long_by_dist,7,0.9992,80
6,random,reach_long_by_dist,8,0.9989,80
6,random,reach_long_by_dist,9,0.9986,80
6,random,reach_long_by_dist,10,0.9989,80
6,random,reach_long_by_dist,11,0.9988,80
6,random,reach_long_by_dist,12,0.999,80
6,random,reach_long_by_dist,13,0.999,80
6,random,reach_long_by_dist,14,0.9988,80
6,random,reach_long_by_dist,15,0.999,80
6,random,reach_long_by_dist,16,0.9989,80
6,random,reach_long_by_dist,17,0.9988,80
