split_a,pair_type,mean_cos,frac_positive,n_pairs
1,within_long,1.0,1.0,396000
1,cut,-0.7782,0.0,9000
1,cut,-0.7782,0.0,9000
1,within_long_d1,1.0,1.0,88
1,within_long_d2,1.0,1.0,86
1,within_long_d3,1.0,1.0,84
1,within_long_d4,1.0,1.0,82
1,within_long_d5,1.0,1.0,80
1,within_long_d6,1.0,1.0,78
1,within_long_d7,1.0,1.0,76
1,within_long_d8,1.0,1.0,74
1,within_long_d9,1.0,1.0,72
1,within_long_d10,1.0,1.0,70
1,within_long_d11,1.0,1.0,68
1,within_long_d12,1.0,1.0,66
1,within_long_d13,1.0,1.0,64
1,within_long_d14,1.0,1.0,62
1,within_long_d15,1.0,1.0,60
1,within_long_d16,1.0,1.0,58
1,within_long_d17,1.0,1.0,56
1,within_long_d18,1.0,1.0,54
1,within_long_d19,1.0,1.0,52
1,within_long_d20,1.0,1.0,50
1,within_long_d21,1.0,1.0,48
1,within_long_d22,1.0,1.0,46
1,within_long_d23,1.0,1.0,44
1,within_long_d24,1.0,1.0,42
1,within_long_d25,1.0,1.0,40
1,within_long_d26,1.0,1.0,38
1,within_long_d27,1.0,1.0,36
1,within_long_d28,1.0,1.0,34
1,within_long_d29,1.0,1.0,32
1,within_long_d30,1.0,1.0,30
1,within_long_d31,1.0,1.0,28
1,within_long_d32,1.0,1.0,26
1,within_long_d33,1.0,1.0,24
1,within_long_d34,1.0,1.0,22
1,within_long_d35,1.0,1.0,20
1,within_long_d36,1.0,1.0,18
1,within_long_d37,1.0,1.0,16
1,within_long_d38,1.0,1.0,14
1,within_long_d39,1.0,1.0,12
1,within_long_d40,1.0,1.0,10
1,within_long_d41,1.0,1.0,8
1,within_long_d42,1.0,1.0,6
1,within_long_d43,1.0,1.0,4
1,within_long_d44,1.0,1.0,2
2,within_long,1.0,1.0,378400
2,within_short,1.0,1.0,400
2,cut,-0.7856,0.0,17600
2,cut,-0.7856,0.0,17600
2,within_long_d1,1.0,1.0,86
2,within_long_d2,1.0,1.0,84
2,within_long_d3,1.0,1.0,82
2,within_long_d4,1.0,1.0,80
2,within_long_d5,1.0,1.0,78
2,within_long_d6,1.0,1.0,76
2,within_long_d7,1.0,1.0,74
2,within_long_d8,1.0,1.0,72
2,within_long_d9,1.0,1.0,70
2,within_long_d10,1.0,1.0,68
2,within_long_d11,1.0,1.0,66
2,within_long_d12,1.0,1.0,64
2,within_long_d13,1.0,1.0,62
2,within_long_d14,1.0,1.0,60
2,within_long_d15,1.0,1.0,58
2,within_long_d16,1.0,1.0,56
2,within_long_d17,1.0,1.0,54
2,within_long_d18,1.0,1.0,52
2,within_long_d19,1.0,1.0,50
2,within_long_d20,1.0,1.0,48
2,within_long_d21,1.0,1.0,46
2,within_long_d22,1.0,1.0,44
2,within_long_d23,1.0,1.0,42
2,within_long_d24,1.0,1.0,40
2,within_long_d25,1.0,1.0,38
2,within_long_d26,1.0,1.0,36
2,within_long_d27,1.0,1.0,34
2,within_long_d28,1.0,1.0,32
2,within_long_d29,1.0,1.0,30
2,within_long_d30,1.0,1.0,28
2,within_long_d31,1.0,1.0,26
2,within_long_d32,1.0,1.0,24
2,within_long_d33,1.0,1.0,22
2,within_long_d34,1.0,1.0,20
2,within_long_d35,1.0,1.0,18
2,within_long_d36,1.0,1.0,16
2,within_long_d37,1.0,1.0,14
2,within_long_d38,1.0,1.0,12
2,within_long_d39,1.0,1.0,10
2,within_long_d40,1.0,1.0,8
2,within_long_d41,1.0,1.0,6
2,within_long_d42,1.0,1.0,4
2,within_long_d43,1.0,1.0,2
3,within_long,0.3379,0.9249,361200
3,within_short,0.9695,1.0,1200
3,cut,-0.088,0.0002,25800
3,cut,-0.088,0.0002,25800
3,within_long_d1,0.8728,1.0,84
3,within_long_d2,0.7815,1.0,82
3,within_long_d3,0.7084,1.0,80
3,within_long_d4,0.6435,1.0,78
3,within_long_d5,0.5853,1.0,76
3,within_long_d6,0.5584,1.0,74
3,within_long_d7,0.5152,1.0,72
3,within_long_d8,0.4832,1.0,70
3,within_long_d9,0.4392,1.0,68
3,within_long_d10,0.3842,1.0,66
3,within_long_d11,0.3214,1.0,64
3,within_long_d12,0.26,0.9987,62
3,within_long_d13,0.1568,0.9297,60
3,within_long_d14,0.1375,0.9097,58
3,within_long_d15,0.1335,0.9007,56
3,within_long_d16,0.132,0.8963,54
3,within_long_d17,0.1309,0.8913,52
3,within_long_d18,0.1298,0.8848,50
3,within_long_d19,0.1287,0.8798,48
3,within_long_d20,0.1274,0.873,46
3,within_long_d21,0.1261,0.8716,44
3,within_long_d22,0.1248,0.8631,42
3,within_long_d23,0.1233,0.8588,40
3,within_long_d24,0.1215,0.8479,38
3,within_long_d25,0.1196,0.8406,36
3,within_long_d26,0.1176,0.8212,34
3,within_long_d27,0.1162,0.7894,32
3,within_long_d28,0.1159,0.7583,30
3,within_long_d29,0.1158,0.75,28
3,within_long_d30,0.1173,0.7846,26
3,within_long_d31,0.1164,0.8213,24
3,within_long_d32,0.1094,0.7714,22
3,within_long_d33,0.1006,0.778,20
3,within_long_d34,0.1006,0.7394,18
3,within_long_d35,0.1019,0.6556,16
3,within_long_d36,0.1038,0.6721,14
3,within_long_d37,0.1257,0.8392,12
3,within_long_d38,0.1503,0.993,10
3,within_long_d39,0.1432,1.0,8
3,within_long_d40,0.1316,0.9933,6
3,within_long_d41,0.1421,1.0,4
3,within_long_d42,0.1356,1.0,2
4,within_long,0.426,0.9972,344400
4,within_short,0.9012,1.0,2400
4,cut,-0.239,0.0,33600
4,cut,-0.239,0.0,33600
4,within_long_d1,0.8817,1.0,82
4,within_long_d2,0.8008,1.0,80
4,within_long_d3,0.738,1.0,78
4,within_long_d4,0.6822,1.0,76
4,within_long_d5,0.6346,1.0,74
4,within_long_d6,0.6138,1.0,72
4,within_long_d7,0.5778,1.0,70
4,within_long_d8,0.5508,1.0,68
4,within_long_d9,0.5158,1.0,66
4,within_long_d10,0.4695,1.0,64
4,within_long_d11,0.4158,1.0,62
4,within_long_d12,0.3637,1.0,60
4,within_long_d13,0.2651,0.9997,58
4,within_long_d14,0.2477,0.9988,56
4,within_long_d15,0.2442,0.998,54
4,within_long_d16,0.2429,0.9973,52
4,within_long_d17,0.2418,0.9982,50
4,within_long_d18,0.2407,0.9975,48
4,within_long_d19,0.2397,0.9974,46
4,within_long_d20,0.2386,0.9975,44
4,within_long_d21,0.2377,0.9979,42
4,within_long_d22,0.2366,0.9968,40
4,within_long_d23,0.2352,0.9974,38
4,within_long_d24,0.2333,0.9978,36
4,within_long_d25,0.2313,0.9974,34
4,within_long_d26,0.2297,0.9975,32
4,within_long_d27,0.229,0.9947,30
4,within_long_d28,0.2291,0.9836,28
4,within_long_d29,0.2317,0.9531,26
4,within_long_d30,0.2321,0.9475,24
4,within_long_d31,0.2254,0.9882,22
4,within_long_d32,0.2147,0.9985,20
4,within_long_d33,0.2107,0.9961,18
4,within_long_d34,0.2074,0.9988,16
4,within_long_d35,0.207,0.9971,14
4,within_long_d36,0.2364,0.9992,12
4,within_long_d37,0.2697,1.0,10
4,within_long_d38,0.2664,1.0,8
4,within_long_d39,0.2524,1.0,6
4,within_long_d40,0.2635,1.0,4
4,within_long_d41,0.2422,1.0,2
5,within_long,0.4765,0.9999,328000
5,within_short,0.8452,1.0,4000
5,cut,-0.3,0.0,41000
5,cut,-0.3,0.0,41000
5,within_long_d1,0.8875,1.0,80
5,within_long_d2,0.8127,1.0,78
5,within_long_d3,0.7558,1.0,76
5,within_long_d4,0.7055,1.0,74
5,within_long_d5,0.665,1.0,72
5,within_long_d6,0.6466,1.0,70
5,within_long_d7,0.6138,1.0,68
5,within_long_d8,0.5886,1.0,66
5,within_long_d9,0.5593,1.0,64
5,within_long_d10,0.518,1.0,62
5,within_long_d11,0.4692,1.0,60
5,within_long_d12,0.4224,1.0,58
5,within_long_d13,0.3261,1.0,56
5,within_long_d14,0.3093,0.9998,54
5,within_long_d15,0.3061,0.9998,52
5,within_long_d16,0.3048,0.9998,50
