split_a,pair_type,mean_cos,frac_positive,n_pairs
3,within_long,0.9473,1.0,361200
3,within_short,1.0,1.0,1200
3,cut,-0.713,0.0,25800
3,cut,-0.713,0.0,25800
3,within_long_d1,0.9842,1.0,86
3,within_long_d2,0.9648,1.0,86
3,within_long_d3,0.9467,1.0,86
3,within_long_d4,0.9465,1.0,86
3,within_long_d5,0.9519,1.0,86
3,within_long_d6,0.9615,1.0,86
3,within_long_d7,0.9644,1.0,86
3,within_long_d8,0.9588,1.0,86
3,within_long_d9,0.9495,1.0,86
3,within_long_d10,0.9431,1.0,86
3,within_long_d11,0.9405,1.0,86
3,within_long_d12,0.9394,1.0,86
3,within_long_d13,0.9386,1.0,86
3,within_long_d14,0.9382,1.0,86
3,within_long_d15,0.9381,1.0,86
3,within_long_d16,0.938,1.0,86
3,within_long_d17,0.938,1.0,86
3,within_long_d18,0.938,1.0,86
3,within_long_d19,0.938,1.0,86
3,within_long_d20,0.938,1.0,86
3,within_long_d21,0.9381,1.0,86
4,within_long,0.8514,1.0,344400
4,within_short,0.9681,1.0,2400
4,cut,0.192,0.7416,33600
4,cut,0.192,0.7416,33600
4,within_long_d1,0.9573,1.0,84
4,within_long_d2,0.9029,1.0,84
4,within_long_d3,0.8522,1.0,84
4,within_long_d4,0.8503,1.0,84
4,within_long_d5,0.8654,1.0,84
4,within_long_d6,0.8915,1.0,84
4,within_long_d7,0.8991,1.0,84
4,within_long_d8,0.8832,1.0,84
4,within_long_d9,0.8572,1.0,84
4,within_long_d10,0.8387,1.0,84
4,within_long_d11,0.8308,1.0,84
4,within_long_d12,0.8271,1.0,84
4,within_long_d13,0.8245,1.0,84
4,within_long_d14,0.8234,1.0,84
4,within_long_d15,0.8231,1.0,84
4,within_long_d16,0.8232,1.0,84
4,within_long_d17,0.8232,1.0,84
4,within_long_d18,0.8232,1.0,84
4,within_long_d19,0.823,1.0,84
4,within_long_d20,0.8229,1.0,84
4,within_long_d21,0.8229,1.0,42
5,within_long,0.8235,1.0,328000
5,within_short,0.9644,1.0,4000
5,cut,0.1603,0.6617,41000
5,cut,0.1603,0.6617,41000
5,within_long_d1,0.9503,1.0,82
5,within_long_d2,0.886,1.0,82
5,within_long_d3,0.8257,1.0,82
5,within_long_d4,0.8227,1.0,82
5,within_long_d5,0.84,1.0,82
5,within_long_d6,0.8704,1.0,82
5,within_long_d7,0.8791,1.0,82
5,within_long_d8,0.8604,1.0,82
5,within_long_d9,0.83,1.0,82
5,within_long_d10,0.8077,1.0,82
5,within_long_d11,0.7977,1.0,82
5,within_long_d12,0.7929,1.0,82
5,within_long_d13,0.7898,1.0,82
5,within_long_d14,0.7884,1.0,82
5,within_long_d15,0.7881,1.0,82
5,within_long_d16,0.7882,1.0,82
5,within_long_d17,0.7883,1.0,82
5,within_long_d18,0.7883,1.0,82
5,within_long_d19,0.7882,1.0,82
5,within_long_d20,0.788,1.0,82
6,within_long,0.6844,1.0,312000
6,within_short,0.8765,1.0,6000
6,cut,-0.0621,0.1972,48000
6,cut,-0.0621,0.1972,48000
6,within_long_d1,0.8866,1.0,80
6,within_long_d2,0.8149,1.0,80
6,within_long_d3,0.7735,1.0,80
6,within_long_d4,0.794,1.0,80
6,within_long_d5,0.7834,1.0,80
6,within_long_d6,0.7686,1.0,80
6,within_long_d7,0.73,1.0,80
6,within_long_d8,0.6949,1.0,80
6,within_long_d9,0.6686,1.0,80
6,within_long_d10,0.6637,1.0,80
6,within_long_d11,0.667,1.0,80
6,within_long_d12,0.6376,1.0,80
6,within_long_d13,0.6028,1.0,80
6,within_long_d14,0.5951,1.0,80
6,within_long_d15,0.5938,1.0,80
6,within_long_d16,0.5939,1.0,80
6,within_long_d17,0.5938,1.0,80
6,within_long_d18,0.5938,1.0,80
6,within_long_d19,0.5938,1.0,80
6,within_long_d20,0.5938,1.0,40
7,within_long,0.6867,1.0,296400
7,within_short,0.8819,1.0,8400
7,cut,-0.5832,0.0,54600
7,cut,-0.5832,0.0,54600
7,within_long_d1,0.8867,1.0,78
7,within_long_d2,0.8151,1.0,78
7,within_long_d3,0.7737,1.0,78
7,within_long_d4,0.7939,1.0,78
7,within_long_d5,0.7831,1.0,78
7,within_long_d6,0.7685,1.0,78
7,within_long_d7,0.7301,1.0,78
7,within_long_d8,0.6951,1.0,78
7,within_long_d9,0.6689,1.0,78
7,within_long_d10,0.6639,1.0,78
7,within_long_d11,0.6669,1.0,78
7,within_long_d12,0.6373,1.0,78
7,within_long_d13,0.6026,1.0,78
7,within_long_d14,0.5948,1.0,78
7,within_long_d15,0.5935,1.0,78
7,within_long_d16,0.5934,1.0,78
7,within_long_d17,0.5934,1.0,78
7,within_long_d18,0.5934,1.0,78
7,within_long_d19,0.5933,1.0,78
8,within_long,0.6896,1.0,281200
8,within_short,0.8482,1.0,11200
8,cut,-0.5626,0.0,60800
8,cut,-0.5626,0.0,60800
8,within_long_d1,0.8867,1.0,76
8,within_long_d2,0.8151,1.0,76
8,within_long_d3,0.7737,1.0,76
8,within_long_d4,0.7943,1.0,76
8,within_long_d5,0.7835,1.0,76
8,within_long_d6,0.7688,1.0,76
8,within_long_d7,0.7302,1.0,76
8,within_long_d8,0.6951,1.0,76
8,within_long_d9,0.669,1.0,76
8,within_long_d10,0.6641,1.0,76
8,within_long_d11,0.6673,1.0,76
8,within_long_d12,0.6377,1.0,76
8,within_long_d13,0.603,1.0,76
8,within_long_d14,0.5954,1.0,76
8,within_long_d15,0.5943,1.0,76
8,within_long_d16,0.5943,1.0,76
8,within_long_d17,0.5942,1.0,76
8,within_long_d18,0.5941,1.0,76
8,within_long_d19,0.594,1.0,38
9,within_long,0.6922,1.0,266400
9,within_short,0.8713,1.0,14400
9,cut,-0.5517,0.0,66600
9,cut,-0.5517,0.0,66600
9,within_long_d1,0.8865,1.0,74
9,within_long_d2,0.8147,1.0,74
9,within_long_d3,0.7734,1.0,74
9,within_long_d4,0.794,1.0,74
9,within_long_d5,0.7834,1.0,74
9,within_long_d6,0.7689,1.0,74
9,within_long_d7,0.7304,1.0,74
9,within_long_d8,0.6951,1.0,74
9,within_long_d9,0.6689,1.0,74
9,within_long_d10,0.6641,1.0,74
9,within_long_d11,0.6675,1.0,74
9,within_long_d12,0.6379,1.0,74
9,within_long_d13,0.603,1.0,74
9,within_long_d14,0.5954,1.0,74
9,within_long_d15,0.5941,1.0,74
9,within_long_d16,0.5941,1.0,74
9,within_long_d17,0.5942,1.0,74
9,within_long_d18,0.5943,1.0,74
10,within_long,0.6936,1.0,252000
10,within_short,0.852,1.0,18000
10,cut,-0.4898,0.0,72000
10,cut,-0.4898,0.0,72000
10,within_long_d1,0.8863,1.0,72
10,within_long_d2,0.8142,1.0,72
10,within_long_d3,0.7728,1.0,72
10,within_long_d4,0.7933,1.0,72
10,within_long_d5,0.7825,1.0,72
10,within_long_d6,0.7677,1.0,72
10,within_long_d7,0.7292,1.0,72
10,within_long_d8,0.6939,1.0,72
10,within_long_d9,0.6676,1.0,72
10,within_long_d10,0.6626,1.0,72
10,within_long_d11,0.6658,1.0,72
10,within_long_d12,0.6361,1.0,72
10,within_long_d13,0.6011,1.0,72
10,within_long_d14,0.5933,1.0,72
10,within_long_d15,0.592,1.0,72
10,within_long_d16,0.5919,1.0,72
10,within_long_d17,0.5921,1.0,72
10,within_long_d18,0.5921,1.0,36
11,within_long,0.6983,1.0,238000
11,within_short,0.7569,1.0,22000
11,cut,-0.2871,0.0,77000
11,cut,-0.2871,0.0,77000
11,within_long_d1,0.8866,1.0,70
11,within_long_d2,0.8149,1.0,70
11,within_long_d3,0.7738,1.0,70
11,within_long_d4,0.7944,1.0,70
11,within_long_d5,0.7836,1.0,70
11,within_long_d6,0.7689,1.0,70
11,within_long_d7,0.7305,1.0,70
11,within_long_d8,0.6954,1.0,70
11,within_long_d9,0.6694,1.0,70
11,within_long_d10,0.6644,1.0,70
11,within_long_d11,0.6678,1.0,70
11,within_long_d12,0.6382,1.0,70
11,within_long_d13,0.6034,1.0,70
11,within_long_d14,0.5957,1.0,70
11,within_long_d15,0.5945,1.0,70
11,within_long_d16,0.5944,1.0,70
11,within_long_d17,0.5945,1.0,70
12,within_long,0.701,1.0,224400
12,within_short,0.7233,1.0,26400
12,cut,0.0943,0.5468,81600
12,cut,0.0943,0.5468,81600
12,within_long_d1,0.8866,1.0,68
12,within_long_d2,0.8144,1.0,68
12,within_long_d3,0.7731,1.0,68
12,within_long_d4,0.7937,1.0,68
12,within_long_d5,0.7832,1.0,68
12,within_long_d6,0.7686,1.0,68
12,within_long_d7,0.7302,1.0,68
12,within_long_d8,0.6951,1.0,68
12,within_long_d9,0.6688,1.0,68
12,within_long_d10,0.6641,1.0,68
12,within_long_d11,0.6674,1.0,68
12,within_long_d12,0.6378,1.0,68
12,within_long_d13,0.603,1.0,68
12,within_long_d14,0.5953,1.0,68
12,within_long_d15,0.5941,1.0,68
12,within_long_d16,0.5941,1.0,68
12,within_long_d17,0.5941,1.0,34
13,within_long,0.7039,1.0,211200
13,within_short,0.8447,1.0,31200
13,cut,0.5119,1.0,85800
13,cut,0.5119,1.0,85800
13,within_long_d1,0.8863,1.0,66
