split_a,mode,metric,distance,value,n_pairs
1,random,reach_long_by_dist,1,1.0,1980
1,random,exact,,1.0,
1,random,reach_long,,1.0,
1,random,reach_short,,nan,
1,random,cut,,1.0,
1,random,pred_positive_rate,,0.9575,
2,random,reach_long_by_dist,1,1.0,1892
2,random,exact,,1.0,
2,random,reach_long,,1.0,
2,random,reach_short,,1.0,
2,random,cut,,1.0,
2,random,pred_positive_rate,,0.9168,
3,random,reach_long_by_dist,1,1.0,1806
3,random,exact,,1.0,
3,random,reach_long,,1.0,
3,random,reach_short,,1.0,
3,random,cut,,1.0,
3,random,pred_positive_rate,,0.8781,
4,random,reach_long_by_dist,1,1.0,1722
4,random,exact,,1.0,
4,random,reach_long,,1.0,
4,random,reach_short,,1.0,
4,random,cut,,1.0,
4,random,pred_positive_rate,,0.8412,
5,random,reach_long_by_dist,1,1.0,1640
5,random,exact,,1.0,
5,random,reach_long,,1.0,
5,random,reach_short,,1.0,
5,random,cut,,1.0,
5,random,pred_positive_rate,,0.8062,
6,random,reach_long_by_dist,1,1.0,1560
6,random,exact,,1.0,
6,random,reach_long,,1.0,
6,random,reach_short,,1.0,
6,random,cut,,1.0,
6,random,pred_positive_rate,,0.7732,
7,random,reach_long_by_dist,1,1.0,1482
7,random,exact,,1.0,
7,random,reach_long,,1.0,
7,random,reach_short,,1.0,
7,random,cut,,1.0,
7,random,pred_positive_rate,,0.742,
8,random,reach_long_by_dist,1,1.0,1406
8,random,exact,,1.0,
8,random,reach_long,,1.0,
8,random,reach_short,,1.0,
8,random,cut,,1.0,
8,random,pred_positive_rate,,0.7127,
9,random,reach_long_by_dist,1,1.0,1332
9,random,exact,,1.0,
9,random,reach_long,,1.0,
9,random,reach_short,,1.0,
9,random,cut,,1.0,
9,random,pred_positive_rate,,0.6853,
10,random,reach_long_by_dist,1,1.0,1260
10,random,exact,,1.0,
10,random,reach_long,,1.0,
10,random,reach_short,,1.0,
10,random,cut,,1.0,
10,random,pred_positive_rate,,0.6597,
11,random,reach_long_by_dist,1,1.0,1190
11,random,exact,,1.0,
11,random,reach_long,,1.0,
11,random,reach_short,,1.0,
11,random,cut,,1.0,
11,random,pred_positive_rate,,0.6361,
12,random,reach_long_by_dist,1,1.0,1122
12,random,exact,,1.0,
12,random,reach_long,,1.0,
12,random,reach_short,,1.0,
12,random,cut,,1.0,
12,random,pred_positive_rate,,0.6144,
13,random,reach_long_by_dist,1,1.0,1056
13,random,exact,,1.0,
13,random,reach_long,,1.0,
13,random,reach_short,,1.0,
13,random,cut,,1.0,
13,random,pred_positive_rate,,0.5945,
14,random,reach_long_by_dist,1,1.0,992
14,random,exact,,1.0,
14,random,reach_long,,1.0,
14,random,reach_short,,1.0,
14,random,cut,,1.0,
14,random,pred_positive_rate,,0.5766,
15,random,reach_long_by_dist,1,1.0,930
15,random,exact,,1.0,
15,random,reach_long,,1.0,
15,random,reach_short,,1.0,
15,random,cut,,1.0,
15,random,pred_positive_rate,,0.5605,
16,random,reach_long_by_dist,1,1.0,870
16,random,exact,,1.0,
16,random,reach_long,,1.0,
16,random,reach_short,,1.0,
16,random,cut,,1.0,
16,random,pred_positive_rate,,0.5463,
17,random,reach_long_by_dist,1,1.0,812
17,random,exact,,1.0,
17,random,reach_long,,1.0,
17,random,reach_short,,1.0,
17,random,cut,,1.0,
17,random,pred_positive_rate,,0.534,
18,random,reach_long_by_dist,1,1.0,756
18,random,exact,,1.0,
18,random,reach_long,,1.0,
18,random,reach_short,,1.0,
18,random,cut,,1.0,
18,random,pred_positive_rate,,0.5236,
19,random,reach_long_by_dist,1,1.0,702
19,random,exact,,1.0,
19,random,reach_long,,1.0,
19,random,reach_short,,1.0,
19,random,cut,,1.0,
19,random,pred_positive_rate,,0.5151,
20,random,reach_long_by_dist,1,1.0,650
20,random,exact,,1.0,
20,random,reach_long,,1.0,
20,random,reach_short,,1.0,
20,random,cut,,1.0,
20,random,pred_positive_rate,,0.5085,
21,random,reach_long_by_dist,1,1.0,600
21,random,exact,,1.0,
21,random,reach_long,,1.0,
21,random,reach_short,,1.0,
21,random,cut,,1.0,
21,random,pred_positive_rate,,0.5038,
22,random,reach_long_by_dist,1,1.0,552
22,random,exact,,1.0,
22,random,reach_long,,1.0,
22,random,reach_short,,1.0,
22,random,cut,,1.0,
22,random,pred_positive_rate,,0.5009,
23,random,reach_long_by_dist,1,1.0,506
23,random,exact,,1.0,
23,random,reach_long,,1.0,
23,random,reach_short,,1.0,
23,random,cut,,1.0,
23,random,pred_positive_rate,,0.5,
1,fixed,reach_long_by_dist,1,1.0,1980
1,fixed,exact,,1.0,
1,fixed,reach_long,,1.0,
1,fixed,reach_short,,nan,
1,fixed,cut,,1.0,
1,fixed,pred_positive_rate,,0.9575,
4,fixed,reach_long_by_dist,1,1.0,1722
4,fixed,exact,,1.0,
4,fixed,reach_long,,1.0,
4,fixed,reach_short,,1.0,
4,fixed,cut,,1.0,
4,fixed,pred_positive_rate,,0.8412,
7,fixed,reach_long_by_dist,1,1.0,1482
7,fixed,exact,,1.0,
7,fixed,reach_long,,1.0,
7,fixed,reach_short,,1.0,
7,fixed,cut,,1.0,
7,fixed,pred_positive_rate,,0.742,
8,fixed,reach_long_by_dist,1,1.0,1406
8,fixed,exact,,1.0,
8,fixed,reach_long,,1.0,
8,fixed,reach_short,,1.0,
8,fixed,cut,,1.0,
8,fixed,pred_positive_rate,,0.7127,
10,fixed,reach_long_by_dist,1,1.0,1260
10,fixed,exact,,1.0,
10,fixed,reach_long,,1.0,
10,fixed,reach_short,,1.0,
10,fixed,cut,,1.0,
10,fixed,pred_positive_rate,,0.6597,
17,fixed,reach_long_by_dist,1,1.0,812
17,fixed,exact,,1.0,
17,fixed,reach_long,,1.0,
17,fixed,reach_short,,1.0,
17,fixed,cut,,1.0,
17,fixed,pred_positive_rate,,0.534,
23,fixed,reach_long_by_dist,1,1.0,506
23,fixed,exact,,1.0,
23,fixed,reach_long,,1.0,
23,fixed,reach_short,,1.0,
23,fixed,cut,,1.0,
23,fixed,pred_positive_rate,,0.5,
